5344
0,87,136,188,340,410,571,639
0,136,183,209,335,571,622,639
0,136,137,209,353,571,639,740
0,40,136,248,468,546,639,658
0,12,136,238,422,587,639,740
0,63,136,206,409,492,639,739
0,63,136,207,410,639,681,739
0,126,136,237,285,546,639,739
0,74,136,255,335,639,739,791
0,74,136,175,327,546,639,739
0,17,136,255,335,352,639,757
0,18,137,226,353,639,700,740
0,109,208,226,639,682,710,826
0,127,226,238,286,639,728,740
0,189,208,226,411,639,682,728
0,189,208,226,639,682,728,808
0,52,188,226,410,627,639,728
0,154,226,255,335,370,639,757
0,42,226,248,470,524,546,639
0,20,82,226,335,448,566,639
0,82,180,226,335,448,639,799
0,180,206,226,448,492,619,639
0,134,206,207,350,410,492,569
0,85,207,248,410,546,569,750
0,85,183,207,335,410,569,802
0,23,82,207,335,410,569,862
0,23,160,207,410,492,569,763
0,23,183,207,335,410,451,569
0,1,207,208,410,411,493,682
0,1,137,207,410,493,576,740
0,63,206,207,409,410,492,681
0,126,188,207,410,546,727,807
0,75,188,207,410,559,740,807
0,98,160,207,351,410,492,763
0,135,207,208,351,410,570,682
0,16,75,207,351,410,740,855
0,126,160,188,410,492,727,779
0,51,175,188,397,410,546,727
0,160,188,197,410,492,559,763
0,75,188,248,328,410,546,559
0,13,137,188,410,423,559,740
0,123,188,234,282,410,456,839
0,49,160,255,335,477,492,531
0,165,238,255,335,536,604,740
0,165,248,255,335,546,604,784
0,165,248,255,335,387,546,604
0,47,238,255,335,382,665,740
0,123,172,255,335,543,791,839
0,74,175,255,327,335,546,791
0,17,208,255,335,352,682,757
0,123,172,255,335,394,543,839
0,48,123,255,335,394,724,839
0,182,208,255,335,553,621,682
0,82,180,206,335,492,619,799
0,23,82,160,335,492,763,862
0,82,123,245,335,543,747,839
0,46,183,208,335,621,682,722
0,137,183,220,335,722,740,820
0,137,183,220,335,423,722,740
0,121,183,238,335,722,740,774
0,47,183,238,335,382,622,740
0,137,183,209,335,353,622,740
0,75,183,192,335,554,740,792
0,23,160,183,335,451,492,763
0,85,183,248,335,546,750,802
0,126,160,243,446,492,546,779
0,75,160,197,492,559,740,763
0,41,137,160,376,469,492,740
0,41,160,248,376,387,492,546
0,75,160,250,298,492,599,740
0,24,160,208,492,570,599,682
0,22,206,248,492,546,568,597
0,44,126,206,379,492,546,619
0,32,206,238,460,492,708,740
0,15,175,206,350,492,507,546
0,97,206,208,256,350,492,682
0,1,137,208,411,576,682,740
0,41,123,137,376,469,740,839
0,41,123,248,376,387,546,839
0,123,126,160,376,546,779,839
0,165,238,248,536,546,740,784
0,165,238,248,387,536,546,740
0,75,126,188,546,559,727,740
0,137,175,247,327,469,546,740
0,41,137,248,387,469,546,740
1,127,161,189,411,493,728,780
1,52,176,189,398,411,547,728
1,88,137,189,341,411,572,576
1,53,189,227,411,576,628,729
1,14,138,189,411,424,560,741
1,161,189,198,411,493,560,764
1,76,189,249,329,411,547,560
1,124,189,235,283,411,457,840
1,86,208,249,411,547,570,751
1,86,184,208,336,411,570,803
1,135,207,208,351,411,493,570
1,24,83,208,336,411,570,863
1,24,161,208,411,493,570,764
1,24,184,208,336,411,452,570
1,2,208,209,411,412,494,683
1,2,138,208,411,494,577,741
1,127,189,208,411,547,728,808
1,76,189,208,411,560,741,808
1,99,161,208,352,411,493,764
1,17,76,208,352,411,741,856
1,136,208,209,352,411,571,683
1,50,161,192,336,478,493,532
1,166,192,239,336,537,605,741
1,166,192,249,336,547,605,785
1,166,192,249,336,388,547,605
1,48,192,239,336,383,666,741
1,124,173,192,336,544,792,840
1,75,176,192,328,336,547,792
1,75,137,192,336,576,740,792
1,155,192,227,336,371,576,758
1,18,192,209,336,353,683,758
1,18,137,192,336,353,576,758
1,124,173,192,336,395,544,840
1,49,124,192,336,395,725,840
1,183,192,209,336,554,622,683
1,24,83,161,336,493,764,863
1,21,83,227,336,449,567,576
1,83,124,246,336,544,748,840
1,83,181,207,336,493,620,800
1,83,181,227,336,449,576,800
1,47,184,209,336,622,683,723
1,138,184,221,336,723,741,821
1,138,184,221,336,424,723,741
1,122,184,239,336,723,741,775
1,137,184,210,336,572,576,623
1,138,184,210,336,354,623,741
1,48,184,239,336,383,623,741
1,76,184,193,336,555,741,793
1,24,161,184,336,452,493,764
1,86,184,249,336,547,751,803
1,23,207,249,493,547,569,598
1,45,127,207,380,493,547,620
1,181,207,227,449,493,576,620
1,98,207,209,257,351,493,683
1,16,176,207,351,493,508,547
1,33,207,239,461,493,709,741
1,127,161,244,447,493,547,780
1,76,161,198,493,560,741,764
1,42,138,161,377,470,493,741
1,42,161,249,377,388,493,547
1,76,161,251,299,493,600,741
1,25,161,209,493,571,600,683
1,190,209,227,412,576,683,729
1,2,138,209,412,577,683,741
1,190,209,227,576,683,729,809
1,110,209,227,576,683,711,827
1,42,124,138,377,470,741,840
1,42,124,249,377,388,547,840
1,124,127,161,377,547,780,840
1,64,227,239,287,576,729,741
1,166,239,249,537,547,741,785
1,166,239,249,388,537,547,741
1,13,137,239,423,576,588,741
1,76,127,189,547,560,728,741
1,42,138,249,388,470,547,741
1,138,176,248,328,470,547,741
1,19,138,227,354,576,701,741
1,137,138,210,354,572,576,741
