4416
0,938,1092,1394,1717,1918
0,1043,1219,1345,1918,2404
0,489,900,1394,1679,2243
0,1051,1195,1894,2404,2663
0,725,1012,1506,1637,2663
0,905,1186,1637,1885,2404
1,939,1093,1395,1718,1919
1,1044,1220,1346,1919,2405
1,490,901,1395,1680,2244
1,1052,1196,1895,2405,2664
1,726,1013,1507,1638,2664
1,906,1187,1638,1886,2405
2,940,1094,1396,1719,1728
2,491,902,1396,1681,2245
2,1053,1197,1896,2406,2665
2,727,1014,1508,1639,2665
2,907,1188,1639,1887,2406
2,1045,1221,1347,1728,2406
3,941,1095,1397,1720,1729
3,492,903,1397,1682,2246
3,1054,1198,1897,2407,2666
3,728,1015,1509,1640,2666
3,908,1189,1640,1888,2407
3,1046,1222,1348,1729,2407
4,942,1096,1398,1721,1730
4,493,904,1398,1683,2247
4,1055,1199,1898,2408,2667
4,729,1016,1510,1641,2667
4,909,1190,1641,1889,2408
4,1047,1223,1349,1730,2408
5,494,905,1399,1684,2248
5,943,1097,1399,1722,1731
5,730,1017,1511,1642,2668
5,1056,1200,1899,2409,2668
5,910,1191,1642,1890,2409
5,1048,1224,1350,1731,2409
6,944,1098,1400,1723,1732
6,495,906,1400,1685,2249
6,731,1018,1512,1643,2669
6,1057,1201,1900,2410,2669
6,911,1192,1643,1891,2410
6,1049,1225,1351,1732,2410
7,496,907,1401,1686,2250
7,945,1099,1401,1724,1733
7,732,1019,1513,1644,2670
7,1058,1202,1901,2411,2670
7,912,1193,1644,1892,2411
7,1050,1226,1352,1733,2411
8,946,1100,1402,1725,1734
8,497,908,1402,1687,2251
8,733,1020,1514,1645,2671
8,1059,1203,1902,2412,2671
8,913,1194,1645,1893,2412
8,1051,1227,1353,1734,2412
9,498,909,1403,1688,2252
9,947,1101,1403,1726,1735
9,734,1021,1515,1646,2672
9,1060,1204,1903,2413,2672
9,914,1195,1646,1894,2413
9,1052,1228,1354,1735,2413
10,948,1102,1404,1727,1736
10,499,910,1404,1689,2253
10,735,1022,1516,1647,2673
10,1061,1205,1904,2414,2673
10,915,1196,1647,1895,2414
10,1053,1229,1355,1736,2414
11,949,1103,1405,1536,1737
11,500,911,1405,1690,2254
11,1062,1206,1905,2415,2674
11,736,1023,1517,1648,2674
11,916,1197,1648,1896,2415
11,1054,1230,1356,1737,2415
12,501,912,1406,1691,2255
12,950,1104,1406,1537,1738
12,1063,1207,1906,2416,2675
12,737,1024,1518,1649,2675
12,917,1198,1649,1897,2416
12,1055,1231,1357,1738,2416
13,502,913,1407,1692,2256
13,951,1105,1407,1538,1739
13,1064,1208,1907,2417,2676
13,738,1025,1519,1650,2676
13,918,1199,1650,1898,2417
13,1056,1232,1358,1739,2417
14,1065,1209,1908,2418,2677
14,739,1026,1520,1651,2677
14,919,1200,1651,1899,2418
14,1057,1233,1359,1740,2418
14,503,914,1408,1693,2257
14,952,1106,1408,1539,1740
15,1066,1210,1909,2419,2678
15,740,1027,1521,1652,2678
15,920,1201,1652,1900,2419
15,1058,1234,1360,1741,2419
15,504,915,1409,1694,2258
15,953,1107,1409,1540,1741
16,1067,1211,1910,2420,2679
16,741,1028,1522,1653,2679
16,921,1202,1653,1901,2420
16,1059,1235,1361,1742,2420
16,505,916,1410,1695,2259
16,954,1108,1410,1541,1742
17,1068,1212,1911,2421,2680
17,742,1029,1523,1654,2680
17,922,1203,1654,1902,2421
17,1060,1236,1362,1743,2421
17,506,917,1411,1696,2260
17,955,1109,1411,1542,1743
18,1069,1213,1912,2422,2681
18,743,1030,1524,1655,2681
18,923,1204,1655,1903,2422
18,1061,1237,1363,1744,2422
18,507,918,1412,1697,2261
18,956,1110,1412,1543,1744
19,1070,1214,1913,2423,2682
19,744,1031,1525,1656,2682
19,924,1205,1656,1904,2423
19,1062,1238,1364,1745,2423
19,508,919,1413,1698,2262
19,957,1111,1413,1544,1745
20,1071,1215,1914,2424,2683
20,745,1032,1526,1657,2683
20,925,1206,1657,1905,2424
20,1063,1239,1365,1746,2424
20,509,920,1414,1699,2263
20,958,1112,1414,1545,1746
21,1072,1216,1915,2425,2684
21,746,1033,1527,1658,2684
21,926,1207,1658,1906,2425
21,1064,1240,1366,1747,2425
21,510,921,1415,1700,2264
21,959,1113,1415,1546,1747
22,1073,1217,1916,2426,2685
22,747,1034,1528,1659,2685
22,927,1208,1659,1907,2426
22,1065,1241,1367,1748,2426
22,511,922,1416,1701,2265
22,768,1114,1416,1547,1748
23,1074,1218,1917,2427,2686
23,748,1035,1529,1660,2686
23,928,1209,1660,1908,2427
23,1066,1242,1368,1749,2427
23,512,923,1417,1702,2266
23,769,1115,1417,1548,1749
24,1075,1219,1918,2428,2687
24,749,1036,1530,1661,2687
24,929,1210,1661,1909,2428
24,1067,1243,1369,1750,2428
24,513,924,1418,1703,2267
24,770,1116,1418,1549,1750
25,930,1211,1662,1910,2429
25,750,1037,1531,1662,2496
25,1068,1244,1370,1751,2429
25,1076,1220,1919,2429,2496
25,514,925,1419,1704,2268
25,771,1117,1419,1550,1751
26,931,1212,1663,1911,2430
26,751,1038,1532,1663,2497
26,1069,1245,1371,1752,2430
26,1077,1221,1728,2430,2497
26,515,926,1420,1705,2269
26,772,1118,1420,1551,1752
27,1070,1246,1372,1753,2431
27,1078,1222,1729,2431,2498
27,932,1213,1664,1912,2431
27,516,927,1421,1706,2270
27,773,1119,1421,1552,1753
27,752,1039,1533,1664,2498
28,517,928,1422,1707,2271
28,1071,1247,1373,1754,2432
28,774,1120,1422,1553,1754
28,1079,1223,1730,2432,2499
28,753,1040,1534,1665,2499
28,933,1214,1665,1913,2432
29,775,1121,1423,1554,1755
29,1072,1248,1374,1755,2433
29,518,929,1423,1708,2272
29,1080,1224,1731,2433,2500
29,754,1041,1535,1666,2500
29,934,1215,1666,1914,2433
30,776,1122,1424,1555,1756
30,1073,1249,1375,1756,2434
30,519,930,1424,1709,2273
30,1081,1225,1732,2434,2501
30,755,1042,1344,1667,2501
30,935,1216,1667,1915,2434
31,777,1123,1425,1556,1757
31,1074,1250,1376,1757,2435
31,520,931,1425,1710,2274
31,1082,1226,1733,2435,2502
31,756,1043,1345,1668,2502
31,936,1217,1668,1916,2435
32,778,1124,1426,1557,1758
32,1075,1251,1377,1758,2436
32,521,932,1426,1711,2275
32,1083,1227,1734,2436,2503
32,757,1044,1346,1669,2503
32,937,1218,1669,1917,2436
33,779,1125,1427,1558,1759
33,1076,1252,1378,1759,2437
33,522,933,1427,1712,2276
33,1084,1228,1735,2437,2504
33,758,1045,1347,1670,2504
33,938,1219,1670,1918,2437
34,780,1126,1428,1559,1760
34,523,934,1428,1713,2277
34,1085,1229,1736,2438,2505
34,759,1046,1348,1671,2505
34,939,1220,1671,1919,2438
34,1077,1253,1379,1760,2438
35,781,1127,1429,1560,1761
35,524,935,1429,1714,2278
35,1086,1230,1737,2439,2506
35,760,1047,1349,1672,2506
