128
128,414,211,811
128,811,211,414
129,415,212,812
129,812,212,415
130,813,213,416
130,416,213,813
131,814,214,417
131,417,214,814
132,815,215,418
132,418,215,815
133,816,216,419
133,419,216,816
134,817,217,420
134,420,217,817
135,818,218,421
135,421,218,818
136,819,219,422
136,422,219,819
137,820,220,423
137,423,220,820
138,821,221,424
138,424,221,821
139,822,222,425
139,425,222,822
140,823,223,426
140,426,223,823
141,824,224,427
141,427,224,824
142,825,225,428
142,428,225,825
143,826,226,429
143,429,226,826
144,827,227,430
144,430,227,827
145,828,228,431
145,431,228,828
146,829,229,432
146,432,229,829
147,830,230,433
147,433,230,830
148,831,231,434
148,434,231,831
149,435,232,768
149,768,232,435
150,436,233,769
150,769,233,436
151,437,234,770
151,770,234,437
152,438,235,771
152,771,235,438
153,439,236,772
153,772,236,439
154,440,237,773
154,773,237,440
155,441,238,774
155,774,238,441
156,442,239,775
156,775,239,442
157,443,240,776
157,776,240,443
158,444,241,777
158,777,241,444
159,445,242,778
159,778,242,445
160,446,243,779
160,779,243,446
161,447,244,780
161,780,244,447
162,781,245,384
162,384,245,781
163,782,246,385
163,385,246,782
164,783,247,386
164,386,247,783
165,784,248,387
165,387,248,784
166,785,249,388
166,388,249,785
167,786,250,389
167,389,250,786
168,787,251,390
168,390,251,787
169,788,252,391
169,391,252,788
170,789,253,392
170,392,253,789
171,790,254,393
171,393,254,790
172,791,255,394
172,394,255,791
173,792,192,395
173,395,192,792
174,793,193,396
174,396,193,793
175,794,194,397
175,397,194,794
176,795,195,398
176,398,195,795
177,796,196,399
177,399,196,796
178,797,197,400
178,400,197,797
179,798,198,401
179,401,198,798
180,799,199,402
180,402,199,799
181,403,200,800
181,800,200,403
182,404,201,801
182,801,201,404
183,405,202,802
183,802,202,405
184,406,203,803
184,803,203,406
185,407,204,804
185,804,204,407
186,408,205,805
186,805,205,408
187,409,206,806
187,806,206,409
188,410,207,807
188,807,207,410
189,411,208,808
189,808,208,411
190,412,209,809
190,809,209,412
191,413,210,810
191,810,210,413
